iter	RMSE
0	3.645154511
1	3.464471925
2	3.272689969
3	3.145169256
4	2.979405546
5	2.853915931
6	2.718412612
7	2.586279567
8	2.467270733
9	2.367327684
10	2.286335269
11	2.200247576
12	2.134832051
13	2.066591394
14	1.996690923
15	1.914931667
16	1.852653691
17	1.783124426
18	1.73029946
19	1.685567504
20	1.633562553
21	1.584104284
22	1.54644558
23	1.493956194
24	1.459527142
25	1.419658024
26	1.370450778
27	1.320849881
28	1.286044329
29	1.246544959
30	1.210705846
31	1.177599027
32	1.156424118
33	1.121030425
34	1.08626379
